Year of YearDate	Local Health District	Locality	Bachelor's degree or higher (B23006)	Cost Burdened Households	Home Ownership Rate	Housing units with a mortgage- 30.0% + (DP04)	Housing units without a mortgage - 30.0% + (DP04)	LEP Pop2	LEP Population (S1601)	Less than high school graduate (B23006)	Occupied housing units (DP04)	Occupied rentals - 30.0% + (DP04)	Owner-occupied housing units (DP04)	PopEst Total Population	Population 18-64 (DP05)	Population 65+ (DP05)	Population Under 18 (DP05)	Total Population 25-64 (B23006)	Total Population 5+ (S1601)	Working Age	Working Age Population w/ a Bachelor Degree	Working Age Population w/o a HS Diploma	Voter Turnout	Voter Turnout2	WCRegion	WCRegion_ID	# Unemployed (LMI)	0-17 Poverty Count (SAIPE)	0-17 Poverty Universe (SAIPE)	ACS Year	AHEC_ID	Arrests per 1,000 Residents	Arrests per 1,000 Residents - % of Va. Total	Average earnings per job (dollars) (BEA)	BEA Combined with:	BEA_fips	BEAFIPS	Below poverty level; 18 to 64 years (S1701)	Below poverty level; 65+ (S1701)	Below poverty level; Population for whom poverty status is determined (S1701)	Below poverty level; Under 18 years (S1701)	CBSA Code	Children in Poverty	Civilian noninstitutionalized population (S2701)	COVF_ID	CSB_ID	Education Enrollment (Dept of Ed)	Education Expenditures (Dept of Ed)	Education Spending per Student	Education Spending per Student - % of Va. Total	ERSTypology_ID	FIPS	Fips (2017 Sdoh)	Geography Year Sum	HSARegion_ID	Income maintenance benefits (BEA)	Information	Instructions	Insured: 18-64 (SAHIE)	Insured: Under 65 (SAHIE)	Labor Force (LMI)	LHD Year Sum	LHD_ID	Locality (2017 SDOH)	Locality Year Sum 5yr%	Locality Year Sum Ann%	Locality Year Sum Ann$	Mean income (dollars) per person (S1902)	Measure Selector - 5yr%	Measure Selector - Ann%	Measure Selector - Ann$	Per Capita Income	Per Capita Income - % of Va. Total	Per Capita Income Maintenance Benefits	Per capita income maintenance benefits (BEA)	Per capita personal income (BEA)	Per Job Income	Personal income (thousands of dollars) (BEA)	PlanningDistrict_ID	PlanningDistrict_Label	Population (BEA)	Population 18-64 (S1701)	Population 18-64 (SAHIE)	Population 65 + (S1701)	Population below 200% FPL	Population for whom poverty status is determined (S1701)	Population in Poverty	Population Under 65 (SAHIE)	Poverty Count (SAIPE)	Poverty Universe (SAIPE)	RUCC_2013_Label	SAHIE Population under 18	SAHIE Uninsured Children	State	Total Employment; Number of Jobs (BEA)	Total Group A Offenses (Crime Report)	Total Housing Units (DP05)	Total Population (DP05)	Total population (S1902)	Total Population Estimate (CB)	Total Population; Under 18 years (S1701)	Total Voting Age Citizens (Voting)	Total; All Individuals below: - 200 %+ FPL (S1701)	Unemployment Rate	Uninsured Children	Uninsured population (S2701)	Uninsured Population2	Uninsured: 18-64 (SAHIE)	Uninsured: Under 65 (SAHIE)	Virginia Year Sum	Virginia Year Sum (Values)	Virginia Year Sum Ann%	WIA_ID	WIA_Label	Year	YearDate
2010	Rappahannock Rapidan	Culpeper	5732	38%	73%	3674	353	4%	1782.858	3692	15834	1994	11498	45749	28666	5196	11887	25123	42449	63%	23%	15%	10111	32%	Central	Central	1672	1746	11795	2006	1	22	1	38085	NA	51047	51047					47900	15%		1	33	7438.86	70244449.27	$9,443	$1	0	51047	51047	4286691.8%	1	29937	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	22037	32994	23263	34.5%	27	Culpeper	38.0%	15%	$38,085	27507	38%	15%	$38,085	$36,438	84%	$639	639	36438	$38,085	1707102	9	Rappahannock-Rapidan	46850		27569				10%	39473	4720	44973	Metro - Counties in metro areas of 1 million population or more	11902	945	Virginia	21802	1024	17446	45749	45749	46850		31645		7%	8%		16%	5533	6478	33.8%	$55,577.47	15%	6	Area VI	2010	1/1/2010 12:00:00 AM
2010	Rappahannock Rapidan	Rappahannock	1627	29%	73%	480	168	1%	35.225	624	3163	265	2294	7376	4533	1317	1526	4038	7045	61%	40%	15%	2813	49%	Central	Central	254	222	1431	2006	1	11	1	33137	NA	51157	51157					47900	16%		1	33	930.03	10982539.12	$11,809	$1	5	51157	51157	4286691.8%	1	3197	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	3565	4836	4025	34.5%	27	Rappahannock	28.9%	16%	$33,137	37149	29%	16%	$33,137	$48,468	73%	$426	426	48468	$33,137	363513	9	Rappahannock-Rapidan	7500		4479				10%	5912	720	7331	Metro - Counties in metro areas of 1 million population or more	1432	161	Virginia	3248	86	3771	7376	7376	7500		5780		6%	11%		18%	914	1075	33.8%	$55,577.47	15%	6	Area VI	2010	1/1/2010 12:00:00 AM
2010	Central Virginia	Lynchburg City	9712	33%	56%	3337	611	3%	1731	4307	27875	5380	15707	73726	48679	10351	14696	32408	69240	66%	30%	13%	17181	30%	Central	Central	3043	4267	14415	2006	7	36	2		Campbell County	51911	51911					31340	30%		8	5	8241.21	88467384.83	$10,735	$1	0	51680	51680	3784359.9%	3		Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	32632	46258	35841	26.9%	5	Lynchburg City	33.5%	30%		21586	33%	30%									11	Region 2000 (Lynchburg Area)			41479				23%	55991	14921	65509	Metro - Counties in metro areas of 250,000 to 1 million population	14511	885	Virginia		2763	31334	73726	73726	75704		56840		8%	6%		17%	8848	9733	33.8%	$55,577.47	15%	7	Area VII	2010	1/1/2010 12:00:00 AM
2010	Central Virginia	Campbell	5196	24%	76%	2812	564	1%	461.007	3454	22005	2004	16657	54174	33926	8263	11985	28680	51223	63%	18%	12%	18151	44%	Central	Central	2142	2211	11919	2006	7	13	1	44394	Lynchburg	51911	51911					31340	19%		8	5	8389.06	77892524.01	$9,285	$1	0	51031	51031	3784359.9%	3	112015	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	27182	38219	27756	26.9%	5	Campbell	24.4%	19%	$44,394	22044	24%	19%	$44,394	$31,917	98%	$857	857	31917	$44,394	4169464	11	Region 2000 (Lynchburg Area)	130633		33992				14%	45914	7770	54368	Metro - Counties in metro areas of 250,000 to 1 million population	11921	884	Virginia	84368	716	24422	54174	54174	54929		41705		8%	7%		17%	6811	7695	33.8%	$55,577.47	15%	7	Area VII	2010	1/1/2010 12:00:00 AM
2010	Central Virginia	Amherst	2945	24%	75%	1503	455	1%	367.344	2650	12706	1092	9576	32315	20049	5291	6975	16634	30612	62%	18%	16%	8654	35%	Central	Central	1322	1291	6822	2006	7	15	1	36722	NA	51009	51009					31340	19%		8	5	4460.54	44247928.27	$9,920	$1	4	51009	51009	3784359.9%	3	23578	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	15243	21559	16352	26.9%	5	Amherst	24.0%	19%	$36,722	21097	24%	19%	$36,722	$29,730	81%	$728	728	29730	$36,722	962834	11	Region 2000 (Lynchburg Area)	32386		19187				14%	26040	4221	31080	Metro - Counties in metro areas of 250,000 to 1 million population	6853	537	Virginia	12480	501	13884	32315	32315	32386		25025		8%	8%		17%	3944	4481	33.8%	$55,577.47	15%	7	Area VII	2010	1/1/2010 12:00:00 AM
2010	Central Virginia	Appomattox	913	19%	76%	564	155	1%	97.027	1133	5976	440	4539	14653	8889	2446	3318	7772	13861	61%	12%	15%	5708	51%	Central	Central	632	717	3285	2006	7	7	0	29790	NA	51011	51011					31340	22%		8	5	2205.14	20055120.07	$9,095	$1	0	51011	51011	3784359.9%	3	13564	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	7268	10316	7343	26.9%	5	Appomattox	19.4%	22%	$29,790	22388	19%	22%	$29,790	$30,706	66%	$902	902	30706	$29,790	461697	11	Region 2000 (Lynchburg Area)	15036		9111				14%	12419	2099	14912	Metro - Counties in metro areas of 250,000 to 1 million population	3309	261	Virginia	5104	106	6745	14653	14653	15036		11265		9%	8%		17%	1842	2103	33.8%	$55,577.47	15%	7	Area VII	2010	1/1/2010 12:00:00 AM
2010	Central Virginia	Bedford	9638	25%	84%	4339	787	1%	771.384	4481	27150	1527	22933	67697	41943	10325	15429	37506	64282	62%	26%	12%	24456	47%	Central	Central	2751	1947	15092	2006	7	8	0	32635	NA	51909	51909					31340	13%		8	5	10566.96	93064248.72	$8,807	$1	0	51019	51019	3784359.9%	3	39064	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	34552	48570	39053	26.9%	5	Bedford	24.5%	13%	$32,635	27732	25%	13%	$32,635	$36,179	72%	$521	521	36179	$32,635	2713554	11	Region 2000 (Lynchburg Area)	75003		42162				10%	57222	6667	68349	Metro - Counties in metro areas of 250,000 to 1 million population	15061	1043	Virginia	29699	616	31410	67697	67697	75003		51755		7%	7%		15%	7609	8652	33.8%	$55,577.47	15%	7	Area VII	2010	1/1/2010 12:00:00 AM
2010	Central Virginia	Bedford City	736	35%	67%	469	92	0%	23.46	328	2782	411	1852	6177	3579	1096	1502	3064	5865	58%	24%	11%	1835	40%	Central	Central	256	350	1254	2006	7				Bedford County	51909	51909					31370	28%		8	5					0	51515	51515	3784359.9%	3		Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	2838	4036	2541	26.9%	5	Bedford City	34.9%	28%		20092	35%	28%									11	Region 2000 (Lynchburg Area)			3546				17%	4819	1050	6022	Metro - Counties in metro areas of 250,000 to 1 million population	1274	76	Virginia		229	3056	6177	6177			4595		10%	6%		16%	708	784	33.8%	$55,577.47	15%	7	Area VII	2010	1/1/2010 12:00:00 AM
2010	Thomas Jefferson	Charlottesville City	9657	42%	41%	1736	427	6%	2366.077	2417	17290	5183	7143	42267	31763	4102	6402	19594	40103	75%	49%	12%	12580	39%	Central	Central	1413	1439	6349	2006	1	25	1		Albemarle County	51901	51901					16820	23%		1	34	3797.17	61288518.82	$16,141	$1	4	51540	51540	4286691.8%	1		Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	25130	31033	23203	32.7%	31	Charlottesville City	42.5%	23%		24578	42%	23%									10	Thomas Jefferson			31313				20%	37666	8387	41453	Metro - Counties in metro areas of fewer than 250,000 population	6353	450	Virginia		1101	18943	42267	42267	43511		32655		6%	7%		18%	6183	6633	33.8%	$55,577.47	15%	6	Area VI	2010	1/1/2010 12:00:00 AM
2010	Thomas Jefferson	Albemarle	27350	32%	65%	5656	921	5%	4282.875	3620	37459	5339	24510	96633	62107	13237	21289	49989	91125	64%	55%	7%	37347	53%	Central	Central	3050	2107	21068	2006	1	13	1	53168	Charlottesville	51901	51901					16820	10%		1	34	12739.41	160161172.57	$12,572	$1	4	51003	51003	4286691.8%	1	70338	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	48646	68078	50987	32.7%	31	Albemarle	31.8%	10%	$53,168	36685	32%	10%	$53,168	$50,241	117%	$493	493	50241	$53,168	7172019	10	Thomas Jefferson	142751		57457				9%	78355	8419	92384	Metro - Counties in metro areas of fewer than 250,000 population	20897	1465	Virginia	113054	1241	41357	96633	96633	99240		70715		6%	7%		13%	8812	10277	33.8%	$55,577.47	15%	6	Area VI	2010	1/1/2010 12:00:00 AM
