	Arrests per 1,000 Residents	House Election	Locality, Local Health District	PopEst Total Population	Presidential Election	Senate Election	VA Election	Education Spending per Student	Per Capita Income	Per Capita Income Maintenance Benefits	Per Job Income	Children in Poverty	Population in Poverty	Unemployment Rate	Uninsured Children	Uninsured Population2	Voter Turnout2	Cost Burdened Households	Home Ownership Rate	Working Age	Working Age Population w/ a Bachelor Degree	Working Age Population w/o a HS Diploma
0	22.0	True	Culpeper, Rappahannock Rapidan	45749	False	False	False	9443.0	36438.0	639.0	38085.0	0.15	0.1	0.07	0.08	0.16	0.32	0.38	0.73	0.63	0.23	0.15
1	11.0	True	Rappahannock, Rappahannock Rapidan	7376	False	False	False	11809.0	48468.0	426.0	33137.0	0.16	0.1	0.06	0.11	0.18	0.49	0.29	0.73	0.61	0.4	0.15
2	36.0	True	Lynchburg City, Central Virginia	73726	False	False	False	10735.0				0.3	0.23	0.08	0.06	0.17	0.3	0.33	0.56	0.66	0.3	0.13
3	13.0	True	Campbell, Central Virginia	54174	False	False	False	9285.0	31917.0	857.0	44394.0	0.19	0.14	0.08	0.07	0.17	0.44	0.24	0.76	0.63	0.18	0.12
4	15.0	True	Amherst, Central Virginia	32315	False	False	False	9920.0	29730.0	728.0	36722.0	0.19	0.14	0.08	0.08	0.17	0.35	0.24	0.75	0.62	0.18	0.16
5	7.0	True	Appomattox, Central Virginia	14653	False	False	False	9095.0	30706.0	902.0	29790.0	0.22	0.14	0.09	0.08	0.17	0.51	0.19	0.76	0.61	0.12	0.15
6	8.0	True	Bedford, Central Virginia	67697	False	False	False	8807.0	36179.0	521.0	32635.0	0.13	0.1	0.07	0.07	0.15	0.47	0.25	0.84	0.62	0.26	0.12
7		True	Bedford City, Central Virginia	6177	False	False	False					0.28	0.17	0.1	0.06	0.16	0.4	0.35	0.67	0.58	0.24	0.11
8	25.0	True	Charlottesville City, Thomas Jefferson	42267	False	False	False	16141.0				0.23	0.2	0.06	0.07	0.18	0.39	0.42	0.41	0.75	0.49	0.12
9	13.0	True	Albemarle, Thomas Jefferson	96633	False	False	False	12572.0	50241.0	493.0	53168.0	0.1	0.09	0.06	0.07	0.13	0.53	0.32	0.65	0.64	0.55	0.07
